"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Complete Denture","Jaw Relations","1","The use of kinematic face bow is contraindicated in the edentulous patients because","It has to be used on the mandibular ridge","Recording base may be unstable on the edentulous mandible","Movement of bases may lead to inaccuracy in recording hinge axis","All of the above","D","'D' [Boucher's 10th ed 248]

The fork of kinematic face bow is attached to mandibular rim, which is unstable and results in inaccuracy in recording the jaw relations. So kinematic face bow is usually used for fixed partial dentures. The arbitrary face bow (the fork is attached to maxillary rim) is the one most commonly used in complete denture patients.",""
"Complete Denture","Jaw Relations","2","Free way space is defined as","Vertical dimension at rest — vertical dimension at occlusion","Vertical dimension of occlusion + vertical dimension at rest","Vertical dimension at rest","Vertical dimension at occlusion - vertical dimension at rest","A","'A' [Boucher's 12th ed 277]

The distance between two arbitrary points on maxilla and mandible when the patient is relaxing is called vertical dimension at rest. The same distance when the patient is occluding on rims is called vertical dimension in occlusion. The difference between VDR and VDO is called interocclusal distance or free-way space. It is usually 2-4 mm when observed at the position of 1st premolars.",""
"Complete Denture","Jaw Relations","3","Hinge axis is located with the help of","Ear rods","Maxillo mandibular vertical relations","Kinematic face bow","Orbital pointer","C","'C' [Boucher's 12th ed 285]

The hinge axis can be located more accurately when the mandible is in its most posterior position by means of kinematic face bow or hinge bow. The hinge axis can be approximated by use of arbitrary type of face bow.",""
"Complete Denture","Jaw Relations","4","Free way space of less than normal, in complete denture has the following adverse result:","Mucosal irritation","Irresistible alveolar ridge resorption","Nonspecific ulcerations","None of the above","B","'B' [Boucher's 10th ed 274]

Freeway space less than normal means increased vertical dimension of occlusion which results in:
• Reversible soft tissue changes and irreversible ridge resorption.
• Difficulty in swallowing.
• Diffuse pain of ridge area.
• Clicking of dentures during speaking.
• Trauma to TMJ.",""
"Complete Denture","Jaw Relations","5","The purpose of plane of orientation is:","To serve as a guide in establishing occlusal plane","To aid in measuring height and length of posterior teeth","To serve as an arbitrary plane when established on the articulator","To divide the distance between upper and lower cast equally","A","'A' [Boucher's 12th ed 262 / Winkler 2nd ed 141]

The plane of occlusion is modified until it is parallel with ala-tragus line or campers line and the edge of the occlusal rim should be 3/4 inch below stenson's duct. When viewed from the front, the occlusal plane should be parallel to inter pupillary plane and the edge of rim should be 1 to 2mm below the lower edge of upper lip.",""
"Complete Denture","Jaw Relations","6","Hinge axis face bow records:","Relationship of teeth to the axis of rotation of the jaw","Relationship of maxilla to mandible","Relationship of mandible to cranium","All of the above","A","'A' [Boucher's 12th ed 285]

The hinge axis face bow records the relationship of teeth to the opening and closing axis of the condyles.",""
"Complete Denture","Jaw Relations","7","Gothic arch tracing","Intraoral tracing device","Extraoral tracing device","Records centric relation and the movements of mandible in horizontal plane","Records centric occlusion and the movements of mandible in vertical plane","C","'C' [Boucher's 10th ed 290]

Gothic arch tracing (also known as arrow point or needle point tracing) is an extra oral method of recording centric relation in horizontal jaw relations. It indicates the relative position of upper and lower jaws.",""
"Complete Denture","Jaw Relations","8","What is the established vertical dimension freeway space in millimeters?","5-6","1-3","2-4","6-8","C","'C' [Boucher's 12th ed 277]

Normal interocclusal distance is usually 2-4 mm in 1st premolar region.",""
"Complete Denture","Jaw Relations","9","A leaf gauge is used to assess","Amount of mouth opening","Pain during closing and opening of mouth","Thickness of the wire","Musculoskeletally stable position of condyle in the fossae","D","'D' [Okeson 3rd ed 263]

Musculoskeletally stable position of condyle in the fossae means centric relation (CR). Various CR registration techniques were developed to manage the many clinical contingencies that obstruct capturing a repeatable CR registration record. Some of them are Roth power centric bite, Tongue tip to soft palate, Chin point guidance, bimanual manipulation, and Leaf gauge.

Leaf Gauge Technique:
• To obtain an interocclusal record, a soft plastic leaf gauge should be placed between the subject's maxillary and mandibular incisors such that the number of leaves provide sufficient vertical dimension to just disocclude the posterior teeth. This should be maintained for 5 minutes with subjects sitting upright.
• The subject should be placed in a supine position, the leaf gauge is removed without allowing any occlusal contact, and the PVS registration material should be applied to the occlusal surfaces of the mandibular teeth. The leaf gauge should be replaced and the subject instructed to close into the registration material in the previous position, using the leaf gauge as an anterior stop. The registration material allowed to set and then removed from the patient's mouth.
• The concept behind the leaf gauge is that when only the anterior teeth occlude, the directional force provided by the elevator muscles seats the condyles in a superoanterior position within the fossae. A leafgauge must be used carefully so the condyles will not be deflected away from the CR.",""
"Complete Denture","Jaw Relations","10","If the interocclusal distance is increased beyond physiologic limits, the patients chief complaint may result from:","A muscular imbalance","An occlusal disharmony in centric","A displacement of the mandibular denture","A displacement of the maxillary denture while yawning","A","'A' [Boucher's 12th ed 277]

Normal interocclusal distance is usually 2-4 mm in 1st premolar region. Increase in the interocclusal distance means decreased VDO that results in muscular imbalance.",""
"Complete Denture","Jaw Relations","11","Patient has difficulty in swallowing as a CD wearer. The most probable cause is:","Decreased vertical dimension","Increased vertical dimension","Thickness of flange","Decreased retention","B","'B' [Boucher's 10th ed 274]

Refer to explanation of Q. No. 4.",""
"Complete Denture","Jaw Relations","12","Before an arbitrary face bow transfer record, the dentist must determine:","Physiologic rest position","Inclination of each condyle","Axial centre of rotation of condyle","Kinematic axis of movement of condyle","C","'C' [Boucher 12th ed 284]

'C' [Boucher 12th ed 284]",""
"Complete Denture","Jaw Relations","13","The inter-arch distance measured when the occlusal rims are in uniform contact is:","Freeway space","Vertical dimension of occlusion","Vertical dimension of rest","Christensen's space","B","'B' [Boucher's 12th ed 274]

'B' [Boucher's 12th ed 274]",""
"Complete Denture","Jaw Relations","14","Increased VDO results in;","Strained facial appearance","Trauma to underlying tissues","Clicking of teeth","All of the above","D","'D' [Boucher's 12th ed 277, 282]

'D' [Boucher's 12th ed 277, 282]",""
"Complete Denture","Jaw Relations","15","Bennett movement of mandible is related to:","Condylar rotation","Lateral bodily movement of mandible","Protrusive movement of mandible","Edge to edge occlusion","B","'B' [Boucher's 10th ed 259]

'B' [Boucher's 10th ed 259]",""
"Complete Denture","Jaw Relations","16","Any slide from the position of initial contact on the retruded area of closure to the position of maximal intercuspation is ideally","1-2 mm","1-3 mm","2-3 mm","3-4 mm","A","'A' [Check Explanation Below]

Functional Occlusion:
Ideally any slide from the position of initial contact on the retruded arc of closure to the position of maximal intercuspation is small (1-2 mm). In the intercuspal position there should be positive, evenly distributed contacts between all the posterior teeth with light contact between the incisors.

When the mandible is moved forwards from position of intercuspation, incisal guidance ideally results in an immediate disclusion of the posterior dentition. Similarly, lateral excursion of the lower jaw are guided by the canine or buccal dentition on the working side, with an absence of contacts on the contralateral non-working side.",""
"Complete Denture","Jaw Relations","17","Interocclusal space is:","Space between upper and lower teeth","Space between maxilla and mandible at rest","Space between the jaws when muscles that elevate and depress the mandible are in minimum tonic contraction","None of the above","A","'A' [Boucher's 12th ed 277]

Interocclusal space is the space between the upper and lower teeth. When the teeth are in maximum cuspation, the vertical dimension will be minimum or low. Option 'C' indicates physiologic rest position of mandible or vertical dimension of rest.

IOD = VDR - VDO",""
"Complete Denture","Jaw Relations","18","Orientation records are transferred by:","Gothic arch tracing","Face bow record","Dual impression technique","Any of the above","B","'B' [Boucher's 12th ed 285]

'B' [Boucher's 12th ed 285]",""
"Complete Denture","Jaw Relations","19","Clicking of denture during speaking is due to","Increased vertical dimension of occlusion","Increased interocclusal space","Decreased vertical dimension of occlusion","Both 'B' & 'C'","A","'A' [Boucher's 12th ed 279]

Poor denture retention and excessive vertical dimension are the two common causes of clicking of complete dentures.",""
"Complete Denture","Jaw Relations","20","Which of the following is an example of static method of recording centric relation?","Intraoral records","Needles","House","Paterson","A","'A' [Boucher's 12th ed 265]

The static methods involve first placing the mandible in CR with maxilla and then making a record of the two occlusion rims to each other.
The functional methods involve functional activity of mandible at the time of making the records. The static method has the advantage of causing minimal leverage effects when compared to functional methods.
Needle house and Paterson methods are functional methods of recording CR.",""
"Complete Denture","Jaw Relations","21","The closest speaking space was suggested by","Pound","McGrane","Neswonger","Silverman","D","'D' [Boucher's 12th ed 277]

'D' [Boucher's 12th ed 277]",""
"Complete Denture","Jaw Relations","22","If VDO is increased all will happen except:","Perleche","Improper aesthetics","Trauma to TMJ","Trauma to muscles","A","'A' [Boucher's 10th ed 274]

Angular stomatitis (also known as Perleche or angular cheilosis) occurs commonly due to decreased VDO or deficiency of 'riboflavin or thiamine' or due to candida infection.",""
"Complete Denture","Jaw Relations","23","Most accurate reproducible relationship for recording jaw relations is:","Physiologic rest position","Centric occlusion","Centric relation","Both B and C","C","'C' [Boucher's 12th ed 277]

Centric relation is the most accurately reproducible and reliable relationship for recording jaw relations. The least reproducible relation is protrusive relation.",""
"Complete Denture","Jaw Relations","24","During gothic arch tracing apex indicates","Centric occlusion","Horizontal jaw relations","Centric relation","Physiologic rest position","C","'C' [Boucher's 10th ed 294]

Gothic arch tracing is an extra oral method of recording centric relation. The lateral mandibular movements should be made until the apex is sharp to indicate the centric relation.",""
"Complete Denture","Jaw Relations","25","Muscles involved in centric relation","Temporalis & masseter","Medial and lateral pterygoids","Temporalis and lateral pterygoid","None of the above","A","'A' [Boucher's 12th ed 288]

'A' [Boucher's 12th ed 288]",""
"Complete Denture","Jaw Relations","26","Thickness of wax in inter occlusal records","9 mm","2 mm","2 cm","10 mm","B","'B' [Boucher's 12th ed 333 / Winkler 2nd ed 198]

Wax, plaster, ZOE paste, self cure resins are commonly used for interocclusal records.",""
"Complete Denture","Jaw Relations","27","Centric relation refers to the position of the condyles in","Posterior most position","Posterior superior position","Anterior superior position","Anterior most position","C","'C' [Boucher's 12th ed 283]

Centric relation (CR) is the most controversial concept in dentistry. Most of the controversies are pertaining to the position of the head of the condyle in the glenoid fossa during centric relation position. This ranges from a retruded posterior position, to superior position and then to an anterior superior position.
For almost the last six decades we assumed CR to be the most retruded position of the heads of the condyles in the glenoid fossae. Recently we could come to a conclusion that it is not the most retruded position of the heads of the condyles but rather the most anterior and superior position.",""
"Complete Denture","Jaw Relations","28","Face bow measures relationship of maxilla to","Opening & closing axis","Mandible","Zygomatic bone","None of the above","A","'A' [Boucher's 12th ed 285]

'A' [Boucher's 12th ed 285]",""
"Complete Denture","Jaw Relations","29","Hinge axis is best detected by","Face bow transfer and freely adjustable condylar pieces","Face bow with three point articulator","With face bow only","With articulator only","A","'A' [Boucher's 12th ed 285]

Refer Synopsis.",""
"Complete Denture","Jaw Relations","30","To change patient's vertical dimension, the following record is needed","Interocclusal record","Graphic record","Kinematic facebow","Arbitrary facebow","C","'C' [Check Explanation Below]

• In case of vertical dimension change, Inter occlusal records will be repeated followed by horizontal jaw relations.
• Graphic record are used for centric relations not for vertical dimensions
• Kinematic facebow and arbitrary facebow are used for orientation jaw relations.",""
"Complete Denture","Jaw Relations","31","Translatary movements of the condyle and the disk are controlled by","Capsular ligament and suprahead of medial pterygoid","Capsular ligament and suprahead of lateral pterygoid","Suprahead of medial and lateral pterygoid","Capsular ligament and the infrahead of lateral pterygoid","B","'B' [Boucher's 12th ed 17, 19]

'B' [Boucher's 12th ed 17, 19]",""
"Complete Denture","Jaw Relations","32","Most reliable method of recording centric relation","Graphic tracing with excursive movements","Wax cone method","Trail and error method","None of the above","A","'A' [Boucher's 10th ed 291]

'A' [Boucher's 10th ed 291]",""
"Complete Denture","Jaw Relations","33","The difficulty in constructing C.D in a Bell's Palsy patient is","Impression taking","Teeth setting","Border moulding","Jaw relations","D","'D' [Textbook of prosthodontics by Rangarajan Pg 12]

Conditions like Bell's palsy and Parkinson's disease will present with problems in denture retention, jaw relations and support for the musculature.",""
"Complete Denture","Jaw Relations","34","Modiolus at the corner of mouth is formed of following muscles except","Triangularis","Buccinator","Masseter","Orbicularis oris","C","'C' [Boucher's 12th ed 263]

Modiolus is a point where eight muscles meet at the ANGLE OF MOUTH (COMEDK-07):
1. Depressor anguli oris (or) triangularis
2. Levator anguli oris or caninus
3. Buccinator
4. Orbicularis oris
5. Risorius
6. Zygomaticus
7. Quadratus labii superioris
8. Quadratus labii inferioris",""
"Complete Denture","Jaw Relations","35","Immediate Bennett shift occurs:","During immediate forward movement of condyle","During first 5-6 mm movement of condyle","During first premature occlusal contact after rotation of condyle","During immediate rotation of condyle","B","'B' [Nallaswamy 1st ed 115]

Immediate side shift Bennett movement:
Here the mandible shifts before the forward movement of the non-working condyle occurs. This movement occurs in 86% of the condyles. This shift ranges 1 to 4mm in dimension.

Progressive side shift or Bennett side shift:
Lateral translation that continues linearly after 2-3mm of forward movement of the non working condyle.",""
"Complete Denture","Jaw Relations","36","Beyron point is located at:","13 mm anterior to posterior margin of tragus on a line from center of tragus to outer canthus","11mm anterior to posterior margin of tragus on a line from parallel to and 7 mm below FHP","10mm anterior to posterior margin of tragus on a line from center of tragus to outer canthus","13 mm anterior to tragus on a line from base of tragus to outer canthus","A","'A' [Boucher 12th ed 287]

The first step in placing a face bow is to locate the hinge axis on the skin on the each side of the patients face. One frequently recommended method is to position the condyle rods on a line extending from the counter canthus of the eye to the top of the tragus of the ear and approximately 13mm in front of the external auditory meatus is called Beyron Point. This placement generally locates the rods within 5mm of the true center of the opening axis of the jaws.
The imaginary line joining the two Beyron points is an approximate hinge axis.

Camper line is? (AIPG-2017)
a) Line runs from the inferior border of the ala of the nose to the superior border of the tragus of the ear
b) Lines run from Lateral wall of orbit to superior border of tragus
c) Line is drawn from the tip of nose to soft tissue chin
d) Line is drawn from the tip of the nose to most prominent lip",""
"Complete Denture","Jaw Relations","37","Which muscle does not decussate in modiolus","Levator labii superioris","Orbicularis oris","Zygomaticus major","Buccinator","A","'A' [Zarb & Bolender 12th ed 351]

For explanation refer to Q. No. 34.",""
"Complete Denture","Jaw Relations","38","Only pure hinge movements of the mandible occur at:","Centric occlusion","Centric relation","Lateral excursion","Terminal Hinge Position","D","'D' [Nallaswamy 1st ed 111]

Hinge movement is a purely rotational movement of the joint, which takes place around a horizontal axis till the patient opens his mouth to about 20-25mm.
The presence of terminal hinge axis or transverse axis occurs while crushing food!
The hinge movement is produced by the action of the lateral pterygoid and suprahyoid muscles and is aided by gravity.",""
"Complete Denture","Jaw Relations","39","Face bow is used to transfer:","Axis-orbital plane","Frankfort horizontal plane","Camper's plane","Occlusal plane","A","'A' [Nallaswamy 1st ed 753 / Boucher 12th ed 285-287]

'A' [Nallaswamy 1st ed 753 / Boucher 12th ed 285-287]",""
"Complete Denture","Jaw Relations","40","The Gothic arch tracing device is used to record","The vertical dimension of occlusion","The centric relation","The centric occlusion","Vertical dimension at rest","B","'B' [Nallaswamy 1st ed 146-148]

Gothic arch tracing or Arrow-point tracing is used to record centric relation.",""
"Complete Denture","Jaw Relations","41","When making complete denture the occlusal plane should be parallel to the","Frankfort horizontal plane only","Interpupillary line only","Campers plane only","Campers plane and interpupillary line","D","'D' [Nallaswamy 1st ed 207 / Fenn 4th ed 187-188]

The anterior part of the maxillary occlusal plane should be parallel to the inter-pupillary line. It should be 2mm below the upper lip line or smile line.
The posterior part of the maxillary plane should be parallel to Camper's line or Ala-tragus line (line projected from the ala of the nose to the superior edge of the tragus of the ear).",""
"Complete Denture","Jaw Relations","42","The orbioaxial opening can be determined by at any point with the help of:","Lateral pterygoid","Medial pterygoid","Masseter","Temporalis","A","'A' [Boucher 10th ed 156, 157]

'A' [Boucher 10th ed 156, 157]",""
"Complete Denture","Jaw Relations","43","Face bows are classified as:","Arbitrary face bow","Arbitrary and kinematic face bow","Arbitrary and value face bow","None of the above","B","'B' [Winkler 2nd ed 184]

Facebow is a caliper like instrument used to orient maxillary cast on the articulator so that it has the same relationship to the opening axis of the jaws. There are two types, the kinematic and the arbitrary. The kinematic is used to locate the true terminal hinge axis and transfer this record to the articulator when mounting the maxillary cast. The arbitrary face bow is the one generally used in the construction of complete dentures and is based on average computations of an axis opening of the jaw. It is simple to use and relatively accurate.

Facebow is caliper like device used to record the relationship of the jaws to the (APPG-15)
a) Opening axis of jaws  b) Campers line  c) Frankfort horizontal plane  d) Occlusal plane",""
"Complete Denture","Jaw Relations","44","Centric relation is between:","Maxilla to cranium","Mandible to cranium","Mandible to condyle","Tooth to tooth","B","'B' [Boucher's 12th ed 283]

'B' [Boucher's 12th ed 283]",""
"Complete Denture","Jaw Relations","45","Retromylohyoid curtain is formed by all EXCEPT","Superior constrictor","Palatoglossal muscle","Mylohyoid","Masseter","D","'D' [Boucher's 12th ed 241]

Retromylohyoid fossa is bounded by retromylohyoid curtain. It is formed posterolaterally by superior constrictor, posteromedially by palatoglossal muscle and lateral surface of tongue, inferiorly by submandibular gland and mylohyoid muscle.",""
"Complete Denture","Jaw Relations","46","Mechanical methods to determine vertical dimension are","Pre-extraction records","Ridge relation","A & B","Phonetics","C","'C' [Nallaswamy 1st ed 132, 133]

Mechanical methods to determine vertical dimension are:
1) Ridge relation
• Distance from the incisive papilla to mandibular incisors
• Parallelism of ridges
2) Pre-extraction records
• Profile photographs
• Profile silhouettes
• Facial measurements
3) Measurement from former dentures",""
"Complete Denture","Jaw Relations","47","Freedom of centric relation correlates with","0.15-1.5 mm","0.20-0.40 mm","0.5 to 1.5 mm","1 to 2 mm","C","'C' [Zarb & Bolender 12th ed 284]

Centric Occlusion: It is occlusion of the opposing teeth when the mandible is in centric relation. This may or may not coincide with the maximum intercuspal position.
The discrepancy between centric relation and centric occlusion is called 'freedom from centric' or long centric. It is 0.5-1.5mm.

Discrepancy between centric relation and centric occlusion is (AIIMS May-14)
a) 0.15 to 0.25 mm  b) 0.20 to 0.40 mm  c) 0.50 to 1.5 mm  d) 1.2 mm",""
"Complete Denture","Jaw Relations","48","The rest position of mandible is established by muscles and","Pressure","Gravity","Temperature","None of the above","B","'B' [Winkler 2nd ed 9]

The postural position of the mandible in man is maintained by tonic activity in the elevator musculature opposing gravitational forces.",""
"Complete Denture","Jaw Relations","49","Lateral movement is produced by anterior translation of one condyle producing rotation about the","Center in the opposite condyle","Center in the opposite ramus","Center in the opposite angle","Center in the opposite neck","A","'A' [Nallaswamy 1st ed 9]

Lateral movement produces anterior translation of condyle on working side and rotation about the centre on the nonworking side (balancing side).
Eg:- In right lateral movement of mandible, right condyle (working side) translates laterally outward while left condyle (nonworking side) merely rotates in the centre of its axis.",""
"Complete Denture","Jaw Relations","50","Fischer's angle is formed by the intersection of the protrusive and non-working side condylar paths as viewed in the","Horizontal plane","Reverse plane","Sagittal plane","Oblique plane","C","'C' [Glossary of Prosthodontic terms]

Fischer's angle is defined as the difference between the sagittal condylar inclinations during protrusive and lateral excursions on the nonworking side. (Rosenstiel)

Fischer angle is the angle formed by the protrusive and nonworking condylar paths, viewed in the sagittal plane. (Glossary of prosthodontic terms)",""
